game_date,game_day_number,day_game_total,Location,Stadium,Attendance,Duration,Home Plate Ump,First Base Ump,Third Base Ump,Weather
"Thursday, July 07, 2022",1,2,NA,NA,NA,2:40, Tony Prater , Rick Dayley , Mike Chuckerman,"Hot, Clear Skies"
"Thursday, July 07, 2022",2,2,Flathead Field,NA,1965,4:20,NA,NA,NA,
"Thursday, July 07, 2022",3,2,"Greeley, Colo.",Jackson Field,46,3:05,NA,NA,NA,NA
"Thursday, July 07, 2022",3,5,NA,NA,NA,NA, Dennis Smythe , Sean Grogan , Ryan Roark,
"Thursday, July 07, 2022",4,5,UC Health Park,NA,764,2:23, Cameron Monaco , Jordan Smart , Rob Minter,79
"Thursday, July 07, 2022",5,5,"Billings, MT",Dehler Park,2236,3:23, Larry Schmitt , Brandon Schneider , Kelly Atkinson,85 Overcast
"Thursday, July 07, 2022",6,5,UC Health Park,NA,764,2:04, Jordan Smart , Rob Minter , Cameron Monaco,71
"Friday, July 08, 2022",1,5,"Idaho Falls, ID",Melaleuca Field,1912,3:39, Scott Esterholt , Mike Chuckerman , Tony Prater,"Hot, Clear Skies"
"Friday, July 08, 2022",2,5,"Billings, Mont.",Dehler Park,2413,NA, Brandon Snyder , Kelly Atkinson , Craig Berube,NA
"Friday, July 08, 2022",2,6,NA,NA,NA,NA,NA,NA,NA,"93, partly cloudy"
"Friday, July 08, 2022",3,6,"Missoula, MT",Ogren Allegiance,2210,3:01, Ray Bidwell , Jadn Guidry , Arturo Belmonte,Partly Cloudy 87 degrees
"Friday, July 08, 2022",4,6,"Greeley, Colo.",Jackson Field,29,2:30, Sean Grogan , Bill Berger , Dennis Smythe,
"Friday, July 08, 2022",5,6,"Greeley, CO",Jackson Fields,29,2:09, Bill Berger , Sean Grogan , Dennis Smythe,
"Friday, July 08, 2022",6,6,"Colorado Springs, CO",UCHealth Park,2130,3:36, Cameron Monaco , Rob Minter , Jordan Smart,Mostly Sunny. 80 Degrees.
"Saturday, July 09, 2022",1,6,"Idaho Falls, ID",Melaleuca Field,2659,4:19, Mike Chuckerman , Tony Prater , Scott Esterholt,
"Saturday, July 09, 2022",2,6,"Colorado Springs, CO",UCHealth Park,1866,2:57, Rob Minter , Jordan Smart , Bill Berger,Sunny. 91 Degrees.
"Saturday, July 09, 2022",3,6,"Missoula, MT",Ogren Allegiant,1823,3:12, Arturo Belmonte , Jaden Guidry,NA,"Partly Cloudy, 85F"
"Saturday, July 09, 2022",4,6,"Greeley, CO",Jackson Field,43,2:24, Ryan Roark , Sean grogan , Rob Montoya,NA
"Saturday, July 09, 2022",5,6,"Greeley, CO",Jackson Field,43,3:06, Rob Montoya , Ryan Roark , Sean Grogan,
"Saturday, July 09, 2022",6,6,"Billings, MT",Dehler Park,3112,3:37, Kelly Atkinson , Craig Berube , Brandon Schneider,Sunny 95
"Sunday, July 10, 2022",1,6,"Billings, MT",Dehler Park,1864,2:50, Craig Berube , Brandon Snyder , Kelly Atkinson,"Clear skies, 92 degrees"
"Sunday, July 10, 2022",2,6,"Idaho Falls, ID",Melaleuca Field,1388,2:42, Tony Prater , Mike Chuckerman , Stu Bergman,
"Sunday, July 10, 2022",3,6,"Missoula, MT",Ogren Allegiant,1670,4:01, Jayden Guidry , Arturo Belmonte,NA,"Partly Cloudy, 77F"
"Sunday, July 10, 2022",4,6,"Colorado Springs, CO",UCHealth Park,1881,2:57, Jordan Smart , Bill Berger , Rob Minter,Mostly Sunny. 89 Degrees.
"Monday, July 11, 2022",1,6,Flathead Field,NA,1504,2:40,NA,NA,NA,
"Tuesday, July 12, 2022",1,6,Lindquist Field,NA,3084,NA, Lyle Mangum , Ryan Hansen , Anthony Winston,
"Tuesday, July 12, 2022",2,6,"Great Falls, Mt",Centene Stadium,1471,3:20, Josh Garner , Arturo Belmonte , Jaden Guidry,"91 Degrees, Sunny, 6 mph SW"
"Tuesday, July 12, 2022",3,6,"Grand Junction, CO",Suplizio Field,1193,3:05, Andrew Burris , Rob Minter , Jordan Smart,100 Partly Cloudy
"Tuesday, July 12, 2022",4,6,Flathead Field,NA,NA,NA,NA,NA,NA,NA
"Tuesday, July 12, 2022",4,4,NA,NA,1467,3:10,NA,NA,NA,
"Tuesday, July 12, 2022",5,4,"Boise, ID",Memorial Stadium,4111,3:47, Kelly Atkinson , Brandon Coley , Brandon Snyder,101 Sunny
"Wednesday, July 13, 2022",1,4,"Boise, ID",Memorial Stadium,3513,3:00, Nathan Elkins , Brandon Snyder , Kelly Atkinson,99 Sunny
"Wednesday, July 13, 2022",2,4,"Great Falls, Mt",Centene Stadium,1113,4:02, Arturo Belmonte , Jaden Guidry , Josh Garner,"89 Degrees, Overcast, 10 mph S"
"Wednesday, July 13, 2022",3,4,"Grand Junction, CO",Suplizio Field,1334,4:43,NA,NA,NA,NA
"Wednesday, July 13, 2022",3,1,NA,NA,NA,NA, Rob Minter , Jordan Smart , Andrew Burris,NA
"Wednesday, July 13, 2022",4,1,Flathead Field,NA,1662,2:50,NA,NA,NA,NA
"Wednesday, July 13, 2022",4,5,NA,NA,NA,NA,NA,NA,NA,
"Wednesday, July 13, 2022",5,5,"Boise, ID",Memorial Stadium,2477,2:52, Nathan Elkins , Brandon Snyder , Kelly Atkinson,90 Overcast
"Wednesday, July 13, 2022",6,5,Lindqiest Field,NA,3441,NA, Ryan Hansen , Anthony Preston , Lars Birkeland,
"Thursday, July 14, 2022",1,5,Lindquist,NA,4485,NA, Anthony Preston , Lars Birkeland , Ryan Hansen,
"Thursday, July 14, 2022",2,5,"Great Falls, Mt",Centene Stadium,2158,3:07, Jeff Ball , Jaden Guidry , Arturo Belmonte,"92 Degrees, Sunny, 9 mph NE"
"Thursday, July 14, 2022",3,5,"Grand Junction, CO",Suplizio Field,1696,2:41, Jordan Smart , Andrew Burris , Rob Minter,98 Partly Cloudy
"Thursday, July 14, 2022",4,6,Flathead Field,NA,1446,3:08,NA,NA,NA,
"Thursday, July 14, 2022",5,6,"Boise, ID",Memorial Stadium,3298,2:55, Brandon Snyder , Dion Dice , Kelly Atkinson,101 Clear
"Friday, July 15, 2022",1,6,Lindquist field,NA,5308,2:45, Lyle Mangum , Ryan Hansen , Anthony Preston,NA
"Friday, July 15, 2022",2,6,"Great Falls, Mt",Centene Stadium,3046,3:06, Jaden Guidry , Arturo Belmonte , Chuck Nelson,"92 Degrees, Sunny, 15 mph SW"
"Friday, July 15, 2022",3,6,Flathead Field,NA,1801,2:53,NA,NA,NA,
"Friday, July 15, 2022",4,6,"Garden City, Idaho",NA,3997,3:37, Dion Dice , Kelly Atkinson , Brandon Snyder,Sunny 98
"Saturday, July 16, 2022",1,6,Lindquist field,NA,4240,NA, Ryan Hansen , Anthony Preston , Lyle Mangum,NA
"Saturday, July 16, 2022",1,5,NA,NA,NA,NA,NA,NA,NA,
"Saturday, July 16, 2022",2,5,"Great Falls, MT",Centene Stadium,1333,2:57,NA,NA,NA,"93 degrees, sunny, 8 mph NW"
"Saturday, July 16, 2022",3,5,"Grand Junction, CO",Suplizio Field,2071,2:36, Andrew Torfin , Rob Minter , Jordan Smart,96 Sunny
"Saturday, July 16, 2022",4,5,Flathead Field,NA,1672,2:50,NA,NA,NA,NA
"Saturday, July 16, 2022",5,5,"Garden City, Idaho",NA,3304,5:04, Kelly Atkinson , Brandon Snyder , Dion Dice,Sunny 101
"Sunday, July 17, 2022",1,5,Lindquist Field,NA,1707,NA, Anthony Preston , Lyle Mangum , Ryan Hansen,
"Sunday, July 17, 2022",2,5,Flathead Field,NA,1593,NA,NA,NA,NA,NA
"Sunday, July 17, 2022",2,4,NA,NA,NA,3:20, Michael ChuKarman , Will Stacey , Tony Prater,NA
"Sunday, July 17, 2022",3,4,"Garden City, Idaho",NA,2279,3:35, Brandon Snyder , Dion Dice , Kelly Atkinson,86 Partly Sunny
"Sunday, July 17, 2022",4,4,"Grand Junction, CO",Suplizio Field,1384,2:19, Rob Minter , Jordan Smart , Andrew Torfin,NA
"Sunday, July 17, 2022",5,4,"Great Falls, Mt",Centene Stadium,850,3:30, Arturo Belmonte , Jaden Guidry , Chuck Nelson,"98 Degrees, Sunny, 8 mph WSW"
"Sunday, July 17, 2022",6,4,"Grand Junction, CO",NA,NA,NA,NA,NA,NA,NA
"Sunday, July 17, 2022",6,5,NA,Suplizio Field,1142,2:17, Jordan Smart , Andrew Torfin , Rob Minter,100 Sunny
"Tuesday, July 19, 2022",1,5,UC Health Park,NA,1591,2:28, Doug Hodges , Gary Czachowski , Bill Burger,78
"Tuesday, July 19, 2022",2,5,"Billings, MT",Dehler Park,2624,2:15, Arturo Belmonte , Jaden Guidry , Craig Berube,"Clear skies, 96 degrees"
"Tuesday, July 19, 2022",3,5,"Boise, ID",Memorial Stadium,2645,3:15, Greg Xepoleas , Anthony Prater , Michael Chuckerman,NA
"Tuesday, July 19, 2022",4,5,"Idaho Falls, ID",Melaleuca Field,3246,NA,NA,NA,NA,NA
"Tuesday, July 19, 2022",4,6,NA,NA,NA,4:19, Tegan Smith , Rob Minter , Jordan Smart,
"Tuesday, July 19, 2022",5,6,"Missoula, MT",Ogren Allegiance,1493,3:00,NA, Kelly Atkinson , Matthew Newman ,NA
"Wednesday, July 20, 2022",1,6,"Billings, MT",Dehler Park,2317,3:25, Jaden Guidry , Cameron Bjornstad , Arturo Belmonte,"Sunny, 95"
"Wednesday, July 20, 2022",2,6,"Boise, ID",Memorial Stadium,2913,3:18, Anthony Parker , Michael Chuckerman , Dion Dice,"Sunny, 100"
"Wednesday, July 20, 2022",3,6,UC Health Park,NA,1368,3:25, Gary Czachowski , Bill Burger , Doug Hodges,NA
"Wednesday, July 20, 2022",4,6,"Missoula, MT",Ogren Allegiance,1624,3:10, Brandon Snyder , Kelly Atkinson , Matthew Newman,NA
"Wednesday, July 20, 2022",5,6,"Idaho Falls, ID",NA,NA,NA,NA,NA,NA,NA
"Wednesday, July 20, 2022",5,5,NA,Melaleuca Field,2977,4:10, Rob Minter , Jordan Smart , Tegan Smith,NA
"Thursday, July 21, 2022",1,5,"Boise, ID",Memorial Stadium,3231,3:25, Michael Chuckerman , Greg Xepoleas , Anthony Prater,NA
"Thursday, July 21, 2022",2,5,"Billings, Mont.",Dehler Park,1995,3:18, Cameron Bjornstad , Arturo Belmonte , Jaden Guidry,NA
"Thursday, July 21, 2022",3,5,UC Health Park,NA,1690,2:49, Bill Berger , Doug Hodges,NA,NA
"Thursday, July 21, 2022",4,5,"Missoula, MT",Ogren Aleegiance,1540,3:37, Kelly Atkinson , Matthew Newman , Brandon Snyder,NA
"Thursday, July 21, 2022",5,5,"Idaho Falls, ID",Melaleuca Field,3043,3:17, Jordan Smart , Tegan Smith , Rob Minter,NA
"Friday, July 22, 2022",1,5,"Garden City, Idaho",Memorial Stadium,3606,3:21, Greg Xepoleas , Anthony Prater , Michael Chukerman,NA
"Friday, July 22, 2022",2,5,Flathead Field,NA,1941,3:51,NA,NA,NA,NA
"Friday, July 22, 2022",3,5,Greeley,Jackson Field,36,2:49, Nick Ramos , John Speaker , Cameron Monaco,NA
"Friday, July 22, 2022",4,5,"Billings, Mont.",Dehler Park,2387,2:56, Arturo Belmonte , Jaden Guidry , Cameron Bjornstad,NA
"Friday, July 22, 2022",5,5,"Missoula, MT",Ogren Allegiance,3163,3:20, Matthew Newman , Brandon Snyder , Kelly Atkinson,NA
"Saturday, July 23, 2022",1,5,"Garden City, Idaho",Memorial Stadium,3997,2:54, Anthony Prater , Michael Chukerman , Greg Xepoleas,NA
"Saturday, July 23, 2022",2,5,"Billings, MT",Dehler Park,3061,2:50, Jaden Guidry , Cameron Bjornstad , Arturo Belmonte,NA
"Saturday, July 23, 2022",3,5,"Missoula, MT",Ogren Allegiant,1724,3:22, Kelly Atkinson , Brandon Snyder , Matthew Newman,NA
"Saturday, July 23, 2022",4,5,Flathead Field,Flathead Field,1683,3:03,NA,NA,NA,NA
"Sunday, July 24, 2022",1,5,"Garden City, Idaho",Memorial Stadium,2598,3:50, Michael Chukerman , Greg Xepoleas , Anthony Prater,NA
"Sunday, July 24, 2022",2,5,"Billings, MT",Dehler Park,2143,2:19, Cameron Bjornstad , Arturo Belmonte , Jaden Guidry,NA
"Sunday, July 24, 2022",3,5,Greeley,Jackson Field,90,2:51, Rob Montoya , Nick Ramos , Kenny Adducci,NA
"Sunday, July 24, 2022",4,5,"Missoula, MT",Ogren Allegiant,1124,3:24, Kelly Atkinson , Mattherw Newman , Brandon Snyder,NA
"Sunday, July 24, 2022",5,5,"Kalispell, MT",Flathead Field,1268,3:05,NA,NA,NA,NA
"Tuesday, July 26, 2022",1,5,"Grand Junction, CO",Suplizio Field,1317,3:06, Andrew Burris , Jayden Gidry , Arturo Belmonte,NA
"Tuesday, July 26, 2022",2,4,Lindquist field,NA,3490,NA, Ryan Hansen , William Minter , Jordan Smart,NA
"Tuesday, July 26, 2022",3,4,Greeley,Jackson Field,31,3:16, Bill Berger , Dennis Smythe , Gary Schakowzki,NA
"Tuesday, July 26, 2022",4,4,"Great Falls, Mt",Centene Stadium,1506,2:48, Shad Chrisman , Tony Prater , Nate Elkins,NA
"Tuesday, July 26, 2022",5,4,Flathead Field,NA,1722,2:42,NA,NA,NA,NA
"Wednesday, July 27, 2022",1,4,Greeley,Jackson Field,38,NA,NA,NA,NA,NA
"Wednesday, July 27, 2022",1,5,NA,NA,NA,2:35, Dennis Smythe , Gary Czachowski , Bill Berger,NA
"Wednesday, July 27, 2022",2,5,"Grand Junction, CO",Suplizio Field,1318,3:16, Jaden Gidry , Arturo Belmonte , Andrew Burris,NA
"Wednesday, July 27, 2022",3,5,Lindquist,NA,3186,NA, William Minter , Jordan Smart , Ryan Hansen,NA
"Wednesday, July 27, 2022",4,5,"Great Falls, Mt",Centene Stadium,1400,2:42, Tony Prater , Nate Elkins , Shad Chrisman,NA
"Wednesday, July 27, 2022",5,5,Flathead Field,NA,1534,2:55,NA,NA,NA,NA
"Thursday, July 28, 2022",1,5,"Grand Junction, CO",Suplizio Field,1228,2:53, Arturo Belmonte , Andrew Burris , Jaden Gidry,NA
"Thursday, July 28, 2022",2,5,Lindquist field,NA,4787,NA, Jordan Smart , Ryan Hansen , William Minter,NA
"Thursday, July 28, 2022",3,5,"Great Falls, Mt",Centene Stadium,1187,3:30, Nate Elkins , Shad Chrisman , Tony Prater,NA
"Thursday, July 28, 2022",4,5,Flathead Field,NA,1567,2:45,NA,NA,NA,NA
"Friday, July 29, 2022",1,5,"Greeley, CO",Jackson Field,47,2:45, Rob Montoya , Sean Grogan , Darryl Dale,NA
"Friday, July 29, 2022",2,5,Lindquist Field,NA,3472,NA, Michael DeBoer , Ryan Hansen , Jordan Smart,NA
"Friday, July 29, 2022",3,5,"Great Falls, Mt",Centene Stadium,1898,3:28, Andy Anderson , Tony Prater , Nate Elkins,NA
"Friday, July 29, 2022",4,5,"Grand Junction, CO",Suplizio Field,2111,3:09, Caden Gaurmer , Jaden Gidry , Arturo Belmonte,NA
"Friday, July 29, 2022",5,5,Flathead Field,NA,1650,3:05,NA,NA,NA,NA
"Saturday, July 30, 2022",1,5,"Greeley, CO",NA,0,2:04, Sean Grogan , Darryl Dale, Rob Montoya,NA
"Saturday, July 30, 2022",2,5,"Greeley, CO",Jackson Field,75,2:14, Darryl, Rob Montoya , Sean Grogan,NA
"Saturday, July 30, 2022",3,5,"Grand Junction, CO",Suplizio Field,1936,2:34,NA,NA,NA,NA
"Saturday, July 30, 2022",3,4,NA,NA,NA,NA, Jaden Gidry , Arturo Belmonte , Caden Gaurmer,NA
"Saturday, July 30, 2022",4,4,Lindquist Field,NA,3615,NA, Ryan Hansen , Micheal Deboer , Jordan Smart,NA
"Saturday, July 30, 2022",5,4,"Great Falls, Mt",Centene Stadium,1178,3:18, Tony Prater , Nate Elkins , Andy Anderson,NA
"Saturday, July 30, 2022",6,4,Flathead Field,NA,1593,3:25,NA,NA,NA,NA
"Sunday, July 31, 2022",1,4,"Greeley, CO",Jackson Field,47,3:28, Rob Montoya , Sean Grogan , Darryl Dale,NA
"Sunday, July 31, 2022",2,5,Flathead Field,NA,1759,2:41,NA,NA,NA,NA
"Sunday, July 31, 2022",3,5,Lindquist Field,NA,1307,NA, Jordan Smart , Ryan Hansen , Micheal Deboer,NA
"Sunday, July 31, 2022",4,5,"Grand Junction, CO",Suplizio Field,1197,2:55, Marty Rover , Jaden Gidry , Arturo Belmonte,NA
"Sunday, July 31, 2022",5,5,"Great Falls, Mt",Centene Stadium,1023,3:34, Nate Elkins , Andy Anderson , Tony Prater,NA
"Tuesday, August 02, 2022",1,5,UC Health Park,NA,2234,2:58, Rob Minter , Kevin Ainsworth,NA,NA
"Tuesday, August 02, 2022",2,5,"Grand Junction, CO",NA,NA,NA,NA,NA,NA,NA
"Tuesday, August 02, 2022",2,6,NA,Suplizio Field,1130,3:06, Andrew Burris , Caden Gaurmer , Matt Barker,NA
"Tuesday, August 02, 2022",3,6,"Billings, MT",Dehler Park,2294,2:36, Michael Chukerman , Jordan Smart , Stu Bertrand,NA
"Tuesday, August 02, 2022",4,6,"Idaho Falls, ID",Melaleuca Field,2009,3:24, Brandon Snyder , Kelly Atkinson , Mike Colson,NA
"Tuesday, August 02, 2022",5,6,"Missoula, MT",Ogren Allegiance,2019,3:30, Eric Martinez , Mike Carr , Ray Bidwell,NA
"Wednesday, August 03, 2022",1,6,UC Health Park,NA,1213,3:00, Anthony Prater , Gary Czachowski , Rob Minter,NA
"Wednesday, August 03, 2022",2,6,"Grand Junction, CO",Suplizio Field,1255,3:14,NA,NA,NA,NA
"Wednesday, August 03, 2022",2,5,NA,NA,NA,NA, Matt Barker , Andrew Burris , Caden Gaurmer,NA
"Wednesday, August 03, 2022",3,5,"Billings, MT",Dehler Park,2163,2:56, Jordan Smart , Larry Schmitt , Michael Chukerman,NA
"Wednesday, August 03, 2022",4,5,"Idaho Falls, ID",Melaleuca Field,2869,3:45, Kelly Atkinson , Mike Colson , Brandon Snyder,NA
"Wednesday, August 03, 2022",5,5,"Missoula, MT",Ogren Allegiance,1753,3:53, Mike Karr , Raymond Bidwell , Eric Martinez,NA
"Thursday, August 04, 2022",1,5,UC Health,NA,1379,2:59, Gary Czachowski , Rob Minter , Anthony Prater,NA
"Thursday, August 04, 2022",2,5,"Grand Junction, CO",Suplizio Field,1281,2:50, Caden Gaurmer , Matt Barker , Andrew Torfin,NA
"Thursday, August 04, 2022",3,5,"Billings, Mont.",Dehler Park,2093,3:28, Larry Schmitt , Michael Chukerman , Jordan Smart,NA
"Thursday, August 04, 2022",4,5,"Idaho Falls, ID",Melaleuca Field,3290,2:49, Mike Colson , Brandon Snyder , Kelly Atkinson,NA
"Thursday, August 04, 2022",5,5,Missoula,Ogren Allegiance,1734,3:33, Ray Bidwell , Eric Martinez , Mike Karr,NA
"Friday, August 05, 2022",1,5,"Grand Junction, CO",Suplizio Field,3122,3:20, Ted Weber , Marty Rover , Lou Brown,NA
"Friday, August 05, 2022",2,5,UC Health,NA,5657,2:56, Rob Minter , Anthony Prater , Gary Czachowski,NA
"Friday, August 05, 2022",3,5,"Billings, Mont.",Dehler Park,3128,3:10, Stu Bertrand , Michael Chukerman , Jordan Smart,NA
"Friday, August 05, 2022",4,5,"Great Falls, Mt",Centene Stadium,1541,2:20, Eric Martinez , Mike Carr , Andy Anderson,NA
"Friday, August 05, 2022",5,5,"Garden City, Idaho",Memorial Stadium,4107,3:34," Dave ""Buck"" Fry ", Kelly Atkinson , Brandon Snyder,NA
"Saturday, August 06, 2022",1,5,UC Health Park,NA,3479,2:40, Anthony Praiter , Rob Minter , Luis Villalobos,NA
"Saturday, August 06, 2022",2,5,"Grand Junction, CO",Suplizio Field,1962,3:43, Marty Rover , Lou Brown , Ted Weber,NA
"Saturday, August 06, 2022",3,5,"Great Falls, Mt",Centene Stadium,1169,3:03, Mike Carr , Andy Anderson , Eric Martinez,NA
"Saturday, August 06, 2022",4,5,"Garden City, Idaho",Memorial Stadium,2997,3:48, Kelly Atkinson , Brandon Snyder ," Dave ""Buck"" Fry",NA
"Saturday, August 06, 2022",5,5,Flathead field,NA,2053,2:59,NA,NA,NA,NA
"Sunday, August 07, 2022",1,5,Flathead field,NA,1467,2:54,NA,NA,NA,NA
"Sunday, August 07, 2022",2,5,"Garden City, Idaho",Memorial Stadium,2484,3:17, Brandon Snyder ," Dave ""Buck"" Fry ", Kelly Atkinson,NA
"Sunday, August 07, 2022",3,5,"Grand Junction, CO",Suplizio Field,1276,3:43, Lou Brown , Tes Weber , Marty Rover,NA
"Sunday, August 07, 2022",4,5,"Great Falls, Mt",Centene Stadium,1246,3:08, Andy Anderson , Eric Martinez , Mike Carr,NA
"Sunday, August 07, 2022",5,5,UC Health Park,NA,2098,3:23, Luis Villalobos , Anthony Prater , Rob Minter,NA
"Tuesday, August 09, 2022",1,5,"Johnstown, CO",Nelson Farm Park,81,3:33, Rob Minter , Tony Praiter , Sean Grogan,NA
"Tuesday, August 09, 2022",3,5,Flathead field,NA,1697,3:20,NA,NA,NA,NA
"Tuesday, August 09, 2022",4,5,"Idaho Falls, ID",Melaleuca Field,1745,3:02, Eric Martinez , Mike Carr , Scott Esterholt,NA
"Tuesday, August 09, 2022",5,5,"Missoula, MT",Ogren-Allegiance,1392,3:15, Stu Bertrand , Micheal Chuckerman , Jordan Smart,NA
"Wednesday, August 10, 2022",1,5,Johnstown,Nelson Farms Park,79,2:41, Tony Prater , Sean Grogan , Rob Minter,NA
"Wednesday, August 10, 2022",2,5,Flathead field,NA,1538,2:52,NA,NA,NA,NA
"Wednesday, August 10, 2022",3,5,"Idaho Falls, ID",Melaleuca Field,1941,3:13, Mike Carr , Scot Esterholt , Eric Martinez,NA
"Wednesday, August 10, 2022",4,5,"Missoula, MT",Ogren-Allegiance,1221,2:59, Micheal Chuckerman , Jordan Smart , Stu Bertrand,NA
"Thursday, August 11, 2022",1,5,Lindquist,NA,2755,3:01, Kevin Macho , Lars Birkeland , Brandon RIley,NA
"Thursday, August 11, 2022",2,5,Johnstown,Nelson Farm Park,80,3:23, Sean Grogan , Rob Minter , Tony Prater,NA
"Thursday, August 11, 2022",3,5,Lindquist,NA,5287,2:27, Lars Birkeland , Ryan Hansen , Kevin Macho,NA
"Thursday, August 11, 2022",4,5,Flathead Field,NA,1636,3;16,NA,NA,NA,NA
"Thursday, August 11, 2022",5,5,"Idaho Falls, ID",Melaleuca Field,1723,3:24, Scott Esterholt , Eric Martinez , Mike Carr,NA
"Thursday, August 11, 2022",6,5,"Missoula, MT",Ogren Allegiance,1415,3:37, Jordan Smart , Stu Bertrand , Michael Chuckerman,NA
"Friday, August 12, 2022",1,5,Johnstown,Nelson Park Farm,117,3:12, Rob Minter , Kevin Ainsworth , Tony Prater,NA
"Friday, August 12, 2022",2,5,Lindquist,NA,5138,3:21, Ryan Hansen , Anthony Preston , Trent Allred,NA
"Friday, August 12, 2022",3,5,"Garden City, Idaho",Memorial Stadium,4679,3:30, Stu Bertrand , Jordan Smart , Michael Chukerman,NA
"Friday, August 12, 2022",4,5,Flathead field,NA,NA,NA,NA,NA,NA,NA
"Friday, August 12, 2022",4,4,NA,NA,1629,2:33,NA,NA,NA,NA
"Friday, August 12, 2022",5,4,"Idaho Falls, ID",Melaleuca Field,1829,3:34, Eric Martinez , Mike Carr , Blair Pippo,NA
"Saturday, August 13, 2022",1,4,"Johnstown, CO",Nelson Farm Park,209,2:28, Ryan Roark , Tony Prater , Rob Minter,NA
"Saturday, August 13, 2022",2,4,Lindquist,NA,4748,3:09, Anthony Preston , Trent Allred , Ryan Hansen,NA
"Saturday, August 13, 2022",3,4,"Garden City, Idaho",Memorial Stadium,3126,NA,NA,NA,NA,NA
"Saturday, August 13, 2022",3,6,NA,NA,NA,3:11, Jordan Smart , Michael Chukerman , Stu Bertrand,NA
"Saturday, August 13, 2022",4,6,Flathead field,NA,1732,2:44,NA,NA,NA,NA
"Saturday, August 13, 2022",5,6,"Idaho Falls, ID",Melaleuca Field,2869,3:12, Mike Carr , Blair Pippo , Eric Martinez,NA
"Sunday, August 14, 2022",1,6,Johnstown,Nelson Farm Park,79,2:21, Tony Prater , Rob Minter , Ryan Roark,NA
"Sunday, August 14, 2022",2,6,Flathead Field,NA,1386,2:55,NA,NA,NA,NA
"Sunday, August 14, 2022",3,6,Lindquist,NA,1611,3:28, Trent Allred , Ryan Hansen , Anthony Preston,NA
"Sunday, August 14, 2022",4,6,"Garden City, Idaho",Memorial Stadium,2252,3:17, Michael Chukerman , Stu Bertrand , Jordan Smart,NA
"Sunday, August 14, 2022",5,5,"Idaho Falls, ID",Melaleuca Field,881,3:42, Blair Pippo , Eric Martinez , Mike Carr,NA
"Tuesday, August 16, 2022",2,5,"Great Falls, MT",Centene Stadium,1916,3:08,NA,NA,NA,NA
"Tuesday, August 16, 2022",3,5,Flathead Field,NA,1715,2:57,NA,NA,NA,NA
"Tuesday, August 16, 2022",4,5,"Missoula, MT",Ogren Allegiance,1313,2:52, Brandon Snyder , Paul Graham , Nick Jahnke,NA
"Wednesday, August 17, 2022",1,5,"Grand Junction, CO",Suplizio Field,1254,3:12, Caden Gaurmer , Tony Prater , William Minter,NA
"Wednesday, August 17, 2022",3,5,"Great Falls, MT",Centene Stadium,1916,3:18,NA,NA,NA,NA
"Wednesday, August 17, 2022",4,5,Flathead Field,NA,1576,3:00,NA,NA,NA,NA
"Wednesday, August 17, 2022",5,5,"Missoula, MT",Ogren Allegiance,1712,3:10, Paul Graham , Nick Jahnke , Brandon Snyder,NA
"Thursday, August 18, 2022",1,5,"Grand Junction, CO",Suplizio Field,1257,3:29, Tony Prater , William Minter , Caden Gaurmer,NA
"Thursday, August 18, 2022",3,5,"Great Falls, Mt",Centene Stadium,1855,3:00, Jordan Smart , Stu Bertrand , Michael Chukerman,NA
"Thursday, August 18, 2022",4,5,Flathead Field,NA,1674,2:50,NA,NA,NA,NA
"Thursday, August 18, 2022",5,5,Ogren Park,NA,1788,3:35, Raymond Bidwell , Paul Graham , Brandon Snyder,NA
"Friday, August 19, 2022",1,5,"Billings, MT",Dehler Park,2981,2:51, Stu Bertrand , Michael Chukerman , Jordan Smart,NA
"Friday, August 19, 2022",3,5,Flathead field,NA,1519,3:10,NA,NA,NA,NA
"Friday, August 19, 2022",4,5,"Missoula, MT",Ogren Allegiant,2347,3:16, Raymond Bidwell , Paul Graham , Bandon Snyder,NA
"Saturday, August 20, 2022",1,5,"Grand Junction, CO",Suplizio Field,1146,2:00,NA,NA,NA,NA
"Saturday, August 20, 2022",1,4,NA,NA,NA,NA, Rob Minter , Marty Rover , Tony Prater,NA
"Saturday, August 20, 2022",2,4,"Grand Junction, CO",Suplizio Field,1819,2:35, Marty Rover , Tony Prater , Rob Minter,NA
"Saturday, August 20, 2022",3,4,"Billings, MT",Dehler Park,2804,3:11, Michael Chukerman , Jordan Smart , Stu Bertrand,NA
"Saturday, August 20, 2022",5,4,Flathead field,NA,1712,NA,NA,NA,NA,NA
"Saturday, August 20, 2022",5,5,NA,NA,NA,2:34,NA,NA,NA,NA
"Sunday, August 21, 2022",1,5,Flathead field,NA,1481,4:08,NA,NA,NA,NA
"Sunday, August 21, 2022",2,5,Billings,Dehler Park,1796,3:02, Jordan Smart , Stu Bertrand , Michael Chukerman,NA
"Sunday, August 21, 2022",3,5,"Missoula, MT",Ogren Allegiant,1776,3:05, Paul Graham , Raymond Bidwell , Brandon Snyder,NA
"Sunday, August 21, 2022",4,5,Lindquist,NA,0,2:50, Micheal DeBoer , Sterling Davie , Ryan Hansen,NA
"Sunday, August 21, 2022",5,5,"Grand Junction, CO",Suplizio Field,1245,2:29, Tony Prater , Rob Minter , Marty Rover,NA
